month,year,FG3_per_game,FG3A_per_game,FG3_PCT,AST_per_game,PTS_per_game,possessions_per_game_smooth,three_point_introduction,shortened_three_point_line,reverted_three_point_line,defensive_three_second_rule,curry_era,off_season
2011-09-01,2011,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2011-10-01,2011,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2011-11-01,2011,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2011-12-01,2011,6.294642857142857,18.544642857142858,0.3394318728935965,20.232142857142858,95.44642857142857,92.23112864525655,1,0,1,1,0,0
2012-01-01,2012,6.091085271317829,17.705426356589147,0.34402364273204905,20.430232558139537,94.15503875968992,94.084015407617,1,0,1,1,0,0
2012-02-01,2012,6.480861244019139,18.74641148325359,0.3457120980091884,20.779904306220097,95.88277511961722,93.8616386901316,1,0,1,1,0,0
2012-03-01,2012,6.480237154150197,18.462450592885375,0.35099550417469494,21.634387351778656,97.99209486166008,93.86328374313939,1,0,1,1,0,0
2012-04-01,2012,6.675233644859813,18.700934579439252,0.3569465267366317,21.242990654205606,97.32943925233644,92.98450809189005,1,0,1,1,0,0
2012-05-01,2012,5.633333333333334,17.275,0.3260974433188616,18.558333333333334,91.73333333333333,92.47301118300184,1,0,1,1,0,0
2012-06-01,2012,7.269230769230769,20.153846153846153,0.3606870229007634,18.076923076923077,98.26923076923077,93.34599145299144,1,0,1,1,0,0
2012-07-01,2012,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2012-08-01,2012,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2012-09-01,2012,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2012-10-01,2012,5.958333333333333,17.791666666666668,0.33489461358313816,21.666666666666668,95.875,94.62003185703185,1,0,1,1,0,0
2012-11-01,2012,7.052272727272728,19.586363636363636,0.36006033882571364,21.39090909090909,97.32045454545455,95.29586976911976,1,0,1,1,0,0
2012-12-01,2012,7.319196428571429,20.515625,0.3567620498313568,21.904017857142858,97.87276785714286,94.63585010343638,1,0,1,1,0,0
2013-01-01,2013,7.039823008849558,19.79646017699115,0.3556101922217255,22.373893805309734,97.8716814159292,94.59152915918726,1,0,1,1,0,0
2013-02-01,2013,6.94475138121547,19.14364640883978,0.3627705627705628,22.723756906077348,99.02486187845304,94.46260563214933,1,0,1,1,0,0
2013-03-01,2013,7.385593220338983,20.408898305084747,0.3618810339458112,22.239406779661017,98.60169491525424,94.483770596978,1,0,1,1,0,0
2013-04-01,2013,7.292307692307692,20.46153846153846,0.35639097744360904,22.43846153846154,98.57307692307693,93.41148474152277,1,0,1,1,0,0
2013-05-01,2013,7.0,20.414634146341463,0.3428912783751494,18.597560975609756,93.71951219512195,92.29898631088874,1,0,1,1,0,0
2013-06-01,2013,8.5,20.166666666666668,0.4214876033057851,18.555555555555557,94.77777777777777,93.75357200589549,1,0,1,1,0,0
2013-07-01,2013,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2013-08-01,2013,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2013-09-01,2013,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2013-10-01,2013,8.052631578947368,21.05263157894737,0.38249999999999995,21.473684210526315,100.13157894736842,95.44843079922026,1,0,1,1,0,0
2013-11-01,2013,7.49780701754386,20.88157894736842,0.3590632220121823,21.532894736842106,98.89254385964912,97.49712689257389,1,0,1,1,0,0
2013-12-01,2013,7.744292237442922,21.735159817351597,0.3563025210084034,21.71689497716895,101.07534246575342,96.60469999198911,1,0,1,1,0,0
2014-01-01,2014,7.56140350877193,21.142543859649123,0.35763924904055594,22.12280701754386,101.07456140350877,96.55667689752981,1,0,1,1,0,0
2014-02-01,2014,7.686440677966102,21.2090395480226,0.3624134256792755,21.92090395480226,101.08474576271186,96.28926537989112,1,0,1,1,0,0
2014-03-01,2014,7.9789029535864975,22.078059071729957,0.36139512661251794,22.229957805907173,101.75316455696202,96.35403050308162,1,0,1,1,0,0
2014-04-01,2014,8.139344262295081,22.614754098360656,0.35991301196085534,22.94672131147541,103.30327868852459,95.10068712580603,1,0,1,1,0,0
2014-05-01,2014,7.811111111111111,21.933333333333334,0.35612968591691996,19.333333333333332,99.25555555555556,92.70755069823923,1,0,1,1,0,0
2014-06-01,2014,10.1,23.4,0.43162393162393164,20.3,98.6,92.44324216524217,1,0,1,1,0,0
2014-07-01,2014,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2014-08-01,2014,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2014-09-01,2014,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,0,1
2014-10-01,2014,7.211538461538462,21.115384615384617,0.34153005464480873,20.692307692307693,98.90384615384616,93.42003696003697,1,0,1,1,0,0
2014-11-01,2014,7.641891891891892,21.81756756756757,0.3502632393930009,21.59234234234234,99.73648648648648,96.16570219608847,1,0,1,1,0,0
2014-12-01,2014,7.931330472103005,22.373390557939913,0.354498369460963,22.263948497854077,101.31115879828326,96.44758327477989,1,0,1,1,0,0
2015-01-01,2015,7.7780172413793105,22.66810344827586,0.34312606959498004,22.11853448275862,99.21120689655173,96.6637638653083,1,0,1,1,1,0
2015-02-01,2015,7.8602484472049685,22.925465838509318,0.34286101327553503,21.972049689440993,98.86645962732919,96.46202518292911,1,0,1,1,1,0
2015-03-01,2015,7.938559322033898,22.296610169491526,0.3560433295324971,22.125,100.07627118644068,96.43705008714369,1,0,1,1,1,0
2015-04-01,2015,8.120833333333334,22.925,0.35423482370047255,22.429166666666667,101.22083333333333,96.55940803515381,1,0,1,1,1,0
2015-05-01,2015,9.125,26.291666666666668,0.3470681458003169,22.125,100.27777777777777,96.6265925925926,1,0,1,1,1,0
2015-06-01,2015,9.666666666666666,29.416666666666668,0.32861189801699714,19.416666666666668,97.08333333333333,98.54270955165691,1,0,1,1,1,0
2015-07-01,2015,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,1,1
2015-08-01,2015,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,1,1
2015-09-01,2015,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,1,1
2015-10-01,2015,7.776315789473684,23.25,0.33446519524617996,20.894736842105264,102.46052631578948,98.98275771641362,1,0,1,1,1,0
2015-11-01,2015,8.327354260089686,23.800448430493272,0.3498822421102214,21.672645739910315,100.18834080717488,99.29231911992237,1,0,1,1,1,0
2015-12-01,2015,8.410087719298245,23.769736842105264,0.35381492757634464,21.910087719298247,101.55263157894737,97.78798960047158,1,0,1,1,1,0
2016-01-01,2016,8.347826086956522,23.62608695652174,0.3533308796466691,22.341304347826085,102.5,98.17688880413594,1,0,1,1,1,0
2016-02-01,2016,8.543859649122806,23.950292397660817,0.35673299963374433,22.564327485380115,105.35672514619883,98.38583654268062,1,0,1,1,1,0
2016-03-01,2016,8.719409282700422,24.59071729957806,0.3545813315030885,22.860759493670887,103.9915611814346,98.46936703486027,1,0,1,1,1,0
2016-04-01,2016,9.331683168316832,25.702970297029704,0.36305855161787365,23.103960396039604,103.58415841584159,97.5469011479207,1,0,1,1,1,0
2016-05-01,2016,9.708333333333334,25.98611111111111,0.3735970069481561,19.52777777777778,102.375,96.38585232332757,1,0,1,1,1,0
2016-06-01,2016,10.714285714285714,30.142857142857142,0.35545023696682465,20.285714285714285,100.14285714285714,97.34342328042328,1,0,1,1,1,0
2016-07-01,2016,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,1,1
2016-08-01,2016,0.0,0.0,0.0,0.0,0.0,,1,0,1,1,1,1
